Pick,Player,Team_x,Pos,HT,WT,Age_x,Pre-Draft Team,Nationality,Player Link,League,GP,GS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER,label,Team_encoded,Position_encoded
999,,,,,225,22,,,,,95.89473684210526,17.11111111111111,0.5590263157894737,0.5259385964912281,7.951754385964915,16.141228070175444,12.138596491228073,13.768421052631581,16.52456140350877,2.0543859649122798,3.669026548672566,23.106140350877183,144.87719298245614,-3.0991228070175434,1.3464912280701753,109.61052631578943,97.07982456140348,19.43421052631579,-999,68,0
999,,,,,200,22,,,,,95.89473684210526,17.11111111111111,0.5590263157894737,0.5259385964912281,7.951754385964915,16.141228070175444,12.138596491228073,13.768421052631581,16.52456140350877,2.0543859649122798,3.669026548672566,23.106140350877183,144.87719298245614,-3.0991228070175434,1.3464912280701753,109.61052631578943,97.07982456140348,19.43421052631579,-999,59,3
999,,,,,265,21,,,,,133.0,17.11111111111111,0.575,0.543,14.4,22.1,18.3,9.3,12.0,0.9,7.2,26.0,125.1,-3.6,1.4,119.0,91.0,27.4,-999,62,0
999,,,,,190,22,,,,,144.0,17.11111111111111,0.584,0.509,3.5,8.9,6.2,17.3,10.6,2.5,0.6,20.4,164.8,1.7,1.4,128.3,95.8,20.3,-999,15,3
999,,,,,224,22,,,,,132.0,17.11111111111111,0.512,0.488,10.1,16.6,13.3,7.8,9.9,2.2,2.8,28.2,143.6,-3.4,1.1,105.8,98.1,21.2,-999,41,1
999,,,,,175,22,,,,,140.0,17.11111111111111,0.537,0.508,1.8,6.6,4.2,23.6,17.8,2.2,0.4,23.5,146.1,-0.4,1.2,106.0,98.8,14.8,-999,33,3
999,,,,,215,21,,,,,121.0,17.11111111111111,0.582,0.562,9.9,22.2,16.4,13.8,19.4,1.8,10.5,23.7,141.2,-5.0,1.4,107.0,88.5,23.8,-999,66,5
999,,,,,200,22,,,,,109.0,17.11111111111111,0.53,0.46,8.2,17.8,13.0,12.9,19.1,2.1,1.3,26.3,147.7,-6.3,1.3,100.6,105.3,17.0,-999,69,4
999,,,,,210,21,,,,,128.0,17.11111111111111,0.524,0.498,6.1,13.9,9.9,14.5,16.1,3.5,0.5,18.3,138.6,-1.3,1.2,104.3,101.1,16.2,-999,56,4
999,,,,,220,22,,,,,128.0,17.11111111111111,0.58,0.527,6.0,12.0,9.0,17.4,15.8,2.4,1.1,21.2,161.0,-0.9,1.4,114.8,102.9,18.7,-999,58,1
999,,,,,190,21,,,,,95.89473684210526,17.11111111111111,0.5590263157894737,0.5259385964912281,7.951754385964915,16.141228070175444,12.138596491228073,13.768421052631581,16.52456140350877,2.0543859649122798,3.669026548672566,23.106140350877183,144.87719298245614,-3.0991228070175434,1.3464912280701753,109.61052631578943,97.07982456140348,19.43421052631579,-999,47,3
999,,,,,240,21,,,,,114.0,17.11111111111111,0.578,0.541,12.4,20.8,16.6,6.6,14.6,1.6,5.0,22.7,152.0,-4.9,1.4,114.3,97.6,21.8,-999,35,1
999,,,,,185,24,,,,,95.89473684210526,17.11111111111111,0.5590263157894737,0.5259385964912281,7.951754385964915,16.141228070175444,12.138596491228073,13.768421052631581,16.52456140350877,2.0543859649122798,3.669026548672566,23.106140350877183,144.87719298245614,-3.0991228070175434,1.3464912280701753,109.61052631578943,97.07982456140348,19.43421052631579,-999,3,6
999,,,,,260,22,,,,,133.0,17.11111111111111,0.602,0.594,18.7,21.8,20.3,8.4,21.8,1.9,4.9,17.5,120.2,-4.8,1.5,115.4,88.2,20.3,-999,15,0
999,,,,,185,22,,,,,47.0,17.11111111111111,0.49,0.441,5.2,12.8,9.0,36.3,22.2,2.1,0.4,30.3,138.5,-2.2,1.2,96.1,103.8,16.4,-999,1,3
999,,,,,185,23,,,,,53.0,17.11111111111111,0.577,0.559,3.0,6.6,4.8,15.6,12.4,2.1,0.4,20.3,156.1,0.3,1.2,118.6,97.4,16.6,-999,67,8
